Stat_ID,MONLOC_AB,DataLoggerLineName,Stat_DATE,ActivityIdentifier,ActivityMediaName,CharacteristicName,StatMEASURE,ResultMeasureUnitCode,DataType,UseForCalc,StatisticalBaseCode,TimeBasisName,NumResults,COMMENTS,CreatedDateTime,LastChangeDate,ActivityInTWQD
AFF53A6D-E645-41EF-84ED-B2442CB7F3B7,GOODTH1,21119082,8/28/2021,GOODTH1_20210828_2021Sum_TS,Water,"Temperature, water",14.9587,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
AFF5B33B-368A-49DC-9FA3-F0F0B7BE5BDA,WFIRONMTH1,20386531,8/22/2021,WFIRONMTH1_20210822_2021Sum_TS,Water,"Temperature, water",13.1397,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
AFF69D4C-1A0D-429A-B915-4B55500C2565,CEDARTH2,21119083,5/2/2022,CEDARTH2_20220502_2021Fall_TS,Water,"Temperature, water",8.10387,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
AFF7335F-0C1B-4BED-ACEE-A05CCB3F6000,CHALATH2,21119057,3/31/2022,CHALATH2_20220331_2021Fall_TS,Water,"Temperature, water",8.67193,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AFF8FE08-2168-4B24-ACB5-C615C791ACB2,HOHTH3,21119078,10/15/2021,HOHTH3_20211015_2021Fall_TS,Water,"Temperature, water",10.7867,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
AFFB0DEF-B1CD-48C4-978B-78B239E26618,LOSTTH1,21119070,7/24/2022,LOSTTH1_20220724_2022Sum_TS,Water,"Temperature, water",13.6951,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AFFBD7BC-B5E5-4558-9532-22FE7C90449C,LOSTTH1,21119070,8/13/2022,LOSTTH1_20220813_2022Sum_TS,Water,"Temperature, water",13.6503,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,09:13.7,24:59.6,NULL
AFFC8A4E-59A0-4328-A8FD-E8AA2F055EBA,MCQUARYTH1,10699488,9/13/2022,MCQUARYTH1_20220913_2022Sum_TS,Water,"Temperature, water",14.29,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
AFFDB845-A325-45AA-A452-91EAB7822040,WFKALTH1,21119058,3/19/2022,WFKALTH1_20220319_2021Fall_TS,Water,"Temperature, water",7.41732,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
AFFF36DF-7D95-4438-8B4F-9F48F11659D5,WFKALTH1,21119058,6/23/2021,WFKALTH1_20210623_2021Sum_TS,Water,"Temperature, water",14.1544,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
B000F72E-9DF5-4D16-B137-B182BB08B497,TOWERTH1,20386549,6/20/2021,TOWERTH1_20210620_2021Sum_TS,Water,"Temperature, water",11.224,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,33:06.0,24:59.6,42:31.2
B00189FC-55EC-4037-BF44-1C4FFFB0323D,CEDARTH2,21119083,12/11/2021,CEDARTH2_20211211_2021Fall_TS,Water,"Temperature, water",7.74075,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
B00227ED-995E-4A8E-B666-44BFB843CBB6,BRADENTH1,21119055,9/29/2021,BRADENTH1_20210929_2021Sum_TS,Water,"Temperature, water",12.0292,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
B002DA91-3CBA-48D9-A00C-F0D7CEE39C74,HOHTH1,20386537,1/16/2022,HOHTH1_20220116_2021Fall_TS,Water,"Temperature, water",7.34229,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
B00376EE-FD5E-40D0-8C4D-530262B78527,CEDARTH2,21119083,2/8/2022,CEDARTH2_20220208_2021Fall_TS,Water,"Temperature, water",6.55486,deg C,Calculated,1,7DADM,7 Day,7,NULL,24:57.9,24:57.9,NULL
B0041E35-9FC9-4530-AEDE-432377EAB2F7,OWLTH1,20651380,1/1/2022,OWLTH1_20220101_2021Fall_TS,Water,"Temperature, water",3.92261,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
B004A389-D808-44E4-A691-809A3DB02E5B,GOODTH2,21119081,9/3/2021,GOODTH2_20210903_2021Sum_TS,Water,"Temperature, water",11.7703,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
B004F4CD-6FE1-4583-93FD-1E6902780BAE,SIXMILETH1,10699431,6/15/2022,SIXMILETH1_20220615_2022Sum_TS,Water,"Temperature, water",9.60196,deg C,Calculated,1,Mean,1 Day,96,NULL,08:54.5,24:59.6,NULL
B00567DD-735F-45AD-97CC-1019572C0F78,WFKALTH1,21119058,6/30/2021,WFKALTH1_20210630_2021Sum_TS,Water,"Temperature, water",16.5598,deg C,Calculated,1,Mean,1 Day,96,NULL,32:51.8,24:59.6,42:31.2
B0060F3D-F49C-436D-8CDA-6D427DBBFA2F,WILLOBTH1,21119077,8/9/2021,WILLOBTH1_20210809_2021Sum_TS,Water,"Temperature, water",16.1799,deg C,Calculated,1,7DADM,7 Day,7,NULL,33:14.0,21:52.7,42:31.2
B0082ED4-5D22-4392-9A52-8E9A6991FE7E,MAPLETH2,20386529,7/15/2021,MAPLETH2_20210715_2021Sum_TS,Water,"Temperature, water",13.834,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,32:58.3,24:59.6,42:31.2
B0094C36-946C-49E7-A499-5F27ED5AF947,TOWERTH1,20386549,7/21/2021,TOWERTH1_20210721_2021Sum_TS,Water,"Temperature, water",12.678,deg C,Calculated,1,Daily Minimum,1 Day,96,NULL,33:06.0,24:59.6,42:31.2
B009749B-C9FC-4481-B1A8-19AA19BFC60C,TAFTTH1,20386544,9/5/2022,TAFTTH1_20220905_2022Sum_TS,Water,"Temperature, water",11.321,deg C,Calculated,1,Daily Maximum,1 Day,96,NULL,09:04.6,24:59.6,NULL
